,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
157,Z3058WTS,4.00079E+12,0,0,0,0,0,0,26665,34262,20,43989568280,1.3412E+11
21511,Z3025WD4,4.00079E+12,0,0,0,2,0,0,37085,151921,24,26430570009,2.74865E+11
1967,Z302BVCZ,4.00079E+12,0,0,0,0,0,0,31758,40089,21,54654232648,1.0475E+11
7488,S300Z61D,4.00079E+12,1,0,16,1,56,56,31713,38454,16,57616382504,1.05956E+11
9598,Z302AYKZ,4.00079E+12,1,1856,32,0,8,8,34132,55556,19,56246163984,1.11794E+11
13985,Z3025L0M,4.00079E+12,1,2424,41,1,2496,2496,36163,647477,26,24332613468,2.26096E+11
7490,S300Z61D,4.00079E+12,1,0,15,1,48,48,31690,38454,17,57601145832,1.05775E+11
2172,Z305DH9M,4.00079E+12,0,0,0,0,0,0,25572,2694,21,44154683648,1.23152E+11
9600,Z302AYKZ,4.00079E+12,1,784,14,0,0,0,34108,55556,19,56226330896,1.11648E+11
17237,S301PXNA,4.00079E+12,0,0,0,0,0,0,27318,5222,21,47332998904,1.1881E+11
13988,Z3025L0M,4.00079E+12,1,72,18,1,1784,1784,36138,647475,26,24331242974,2.26064E+11
5024,Z3029GGT,4.00079E+12,0,0,0,0,0,0,34126,52681,20,58337459768,1.27021E+11
7490,S300Z61D,4.00079E+12,1,0,15,1,48,48,31666,38454,17,57580769976,1.05601E+11
3732,S300ZNXM,4.00079E+12,0,0,0,0,0,0,30651,36942,21,55688001464,1.14634E+11
9600,Z302AYKZ,4.00079E+12,1,688,14,0,0,0,34084,55556,19,56210795568,1.11531E+11
2120,Z304JW84,4.00079E+12,0,0,0,0,0,0,28301,7938,23,49055509576,1.17524E+11
13988,Z3025L0M,4.00079E+12,1,40,18,1,1760,1760,36115,647475,25,24329907812,2.2603E+11
21906,S30106RZ,4.00079E+12,0,0,0,0,0,0,31467,144861,23,48886590520,1.1198E+11
7490,S300Z61D,4.00079E+12,1,0,14,1,16,16,31641,38454,16,57552778824,1.05499E+11
5354,S301GLZ6,4.00079E+12,0,0,0,0,0,0,29164,15547,22,52244855072,1.21885E+11
9600,Z302AYKZ,4.00079E+12,1,448,12,0,0,0,34060,55556,19,56200152000,1.11408E+11
262,S301KX6B,4.00079E+12,0,0,0,0,0,0,27791,9947,20,49685804808,1.1075E+11
13988,Z3025L0M,4.00079E+12,1,40,18,1,1760,1760,36091,647475,25,24328581917,2.25998E+11
20606,Z3025PLV,4.00079E+12,0,0,0,0,0,0,36891,33552,27,23899722266,1.84932E+11
7490,S300Z61D,4.00079E+12,1,0,14,1,16,16,31617,38454,17,57535492880,1.05326E+11
21458,Z302A12R,4.00079E+12,0,0,0,0,0,0,31758,40495,20,52392528472,1.23075E+11
9601,Z302AYKZ,4.00079E+12,1,344,10,0,0,0,34036,55556,19,56187415824,1.11305E+11
8524,Z302SWAL,4.00079E+12,0,0,0,0,0,0,28712,14784,34,51727092112,1.12719E+11
13990,Z3025L0M,4.00079E+12,1,0,0,1,0,0,36067,647475,26,24327258669,2.2595E+11
2957,Z304JWH4,4.00079E+12,0,0,0,0,0,0,28301,2778,22,52600262544,1.58511E+11
7490,S300Z61D,4.00079E+12,1,0,14,1,16,16,31593,38454,17,57507112872,1.05163E+11
19007,S301GMP4,4.00079E+12,0,0,0,0,0,0,27795,10331,21,47135328224,1.25207E+11
9601,Z302AYKZ,4.00079E+12,1,336,10,0,0,0,34012,55556,19,56167161600,1.11226E+11
12380,Z305D2FS,4.00079E+12,0,0,0,0,0,0,25327,8191,27,41655556728,1.31638E+11
13990,Z3025L0M,4.00079E+12,1,0,0,1,0,0,36043,647475,26,24325880020,2.25897E+11
15997,Z303YT50,4.00079E+12,0,0,0,1,0,0,28609,322145,31,23513246115,2.14807E+11
7492,S300Z61D,4.00079E+12,1,0,14,1,16,16,31569,38454,17,57493594528,1.05019E+11
3387,Z30252BQ,4.00079E+12,0,0,0,0,0,0,36915,28795,22,24630521472,2.00003E+11
9603,Z302AYKZ,4.00079E+12,1,336,10,0,0,0,33987,55556,19,56145199784,1.1114E+11
21721,Z305K1T6,4.00079E+12,0,0,0,0,0,0,24486,3342,27,41095833408,1.14391E+11
13991,Z3025L0M,4.00079E+12,1,0,0,1,0,0,36019,647475,26,24324557020,2.25865E+11
1523,Z302DJY6,4.00079E+12,0,0,0,1,0,0,34112,57957,22,25428118806,2.12576E+11
7492,S300Z61D,4.00079E+12,1,0,14,1,16,16,31546,38454,17,57468672112,1.04949E+11
19378,Z302DR3Z,4.00079E+12,0,0,0,0,0,0,32451,30761,18,56616737800,1.26751E+11
9603,Z302AYKZ,4.00079E+12,1,336,10,0,0,0,33963,55556,19,56127668504,1.11074E+11
6388,Z305B6W7,4.00079E+12,0,0,0,0,0,0,25951,6866,23,44663027896,1.16491E+11
13992,Z3025L0M,4.00079E+12,1,0,0,1,0,0,35995,647475,25,24323191173,2.25832E+11
18419,S301107L,4.00079E+12,0,0,0,0,0,0,32455,35659,20,56161499504,1.06834E+11
7492,S300Z61D,4.00079E+12,1,0,14,1,16,16,31521,38454,17,57443888616,1.04824E+11
17347,Z302G0M3,4.00079E+12,0,0,0,0,0,0,32451,35246,21,56251759728,1.3681E+11
9603,Z302AYKZ,4.00079E+12,1,336,10,0,0,0,33939,55556,19,56100702056,1.10932E+11
6038,S300YQB7,4.00079E+12,0,0,0,0,0,0,31784,40698,23,53890138688,1.306E+11
13992,Z3025L0M,4.00079E+12,1,0,0,1,0,0,35970,647475,26,24321725912,2.25795E+11
9625,Z30251KQ,4.00079E+12,0,0,0,0,0,0,36862,63545,25,24210076919,2.13158E+11
7494,S300Z61D,4.00079E+12,1,0,14,1,16,16,31497,38454,17,57423850016,1.04704E+11
13643,Z304TKGV,4.00079E+12,0,0,0,0,0,0,25136,4528,20,41245768152,1.38473E+11
9605,Z302AYKZ,4.00079E+12,1,336,10,0,0,0,33916,55556,19,56087305944,1.10801E+11
10632,S30117ZC,4.00079E+12,0,0,0,0,0,0,32457,30877,19,56246996760,1.29298E+11
13995,Z3025L0M,4.00079E+12,1,0,0,1,0,0,35947,646418,23,24321448460,2.25762E+11
8161,Z3041JA6,4.00079E+12,0,0,0,0,0,0,28308,6198,25,51578098632,1.12799E+11
11383,Z3025MC0,4.00079E+12,0,0,0,0,0,0,36891,31154,22,24469297604,1.93137E+11
18802,S300VL9M,4.00079E+12,1,0,0,0,0,0,30269,37764,23,53909156240,1.1103E+11
18803,S300VL9M,4.00079E+12,1,0,0,0,0,0,30246,37764,23,53895348184,1.10903E+11
20749,S30115ED,4.00079E+12,0,0,0,0,0,0,32425,35264,18,57985008264,1.16343E+11
18803,S300VL9M,4.00079E+12,1,0,0,0,0,0,30223,37764,23,53883522272,1.10834E+11
2761,S3011G1B,4.00079E+12,0,0,0,0,0,0,32431,34667,19,56086237384,1.13455E+11
18805,S300VL9M,4.00079E+12,1,0,0,0,0,0,30198,37764,24,53865885272,1.10739E+11
11263,S301GNCE,4.00079E+12,0,0,0,0,0,0,28685,12378,32,50334440752,1.20512E+11
18805,S300VL9M,4.00079E+12,1,0,0,0,0,0,30174,37764,23,53844563456,1.10613E+11
16602,S300XBLY,4.00079E+12,0,0,0,0,0,0,30317,7843,20,45975834352,1.85134E+11
18807,S300VL9M,4.00079E+12,1,0,0,0,0,0,30151,37764,23,53821030080,1.10513E+11
18786,Z3034TD3,4.00079E+12,0,0,0,2,0,0,28584,331510,34,23530684844,2.23146E+11
18808,S300VL9M,4.00079E+12,1,0,0,0,0,0,30127,37764,23,53801703064,1.10435E+11
11408,Z3029AP9,4.00079E+12,0,0,0,0,0,0,34111,57323,17,54936369816,1.3413E+11
18809,S300VL9M,4.00079E+12,1,0,0,0,0,0,30102,37764,23,53759434680,1.10292E+11
18934,Z304L8J0,4.00079E+12,0,0,0,0,0,0,27294,6019,22,45219546408,1.19801E+11
18811,S300VL9M,4.00079E+12,1,0,0,0,0,0,30078,37764,23,53729755000,1.10171E+11
20906,Z302FRB3,4.00079E+12,0,0,0,0,0,0,34110,55994,16,56576958560,1.44849E+11
18802,S300VL9M,4.00079E+12,1,0,0,0,0,0,30054,37764,23,53707402512,1.10074E+11
10328,Z3029GKP,4.00079E+12,0,0,0,1,0,0,34515,66022,23,28597340851,2.52578E+11
16059,S300Z63D,4.00079E+12,0,0,0,0,0,0,31735,38443,21,53684184864,1.06563E+11
18456,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28253,7429,21,50638486968,1.04285E+11
18456,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28229,7429,21,50615709936,1.04141E+11
15493,Z304JGRV,4.00079E+12,0,0,0,0,0,0,27540,14858,23,47004757056,1.54216E+11
18458,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28205,7429,21,50602950880,1.04059E+11
13790,Z3026YZD,4.00079E+12,0,0,0,0,0,0,34085,57472,22,54878069376,1.25917E+11
18458,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28181,7429,21,50586330112,1.03957E+11
1217,Z304L9P4,4.00079E+12,0,0,0,0,0,0,27270,5453,22,45527267904,1.40076E+11
18460,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28158,7429,21,50573820528,1.03836E+11
405,Z302AK2W,4.00079E+12,0,0,0,0,0,0,32406,35415,19,56479688400,1.18369E+11
18461,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28133,7429,22,50554171928,1.03731E+11
8458,Z304JANE,4.00079E+12,0,0,0,0,0,0,28256,7944,21,50955865768,1.12284E+11
18462,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28109,7429,21,50533630616,1.03631E+11
5179,S301N9NJ,4.00079E+12,0,0,0,0,0,0,27582,15194,22,46632167656,1.13043E+11
18464,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28085,7429,21,50510232960,1.03531E+11
21037,Z302B0X7,4.00079E+12,0,0,0,0,0,0,34082,55541,19,54295707048,1.389E+11
18456,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28061,7429,21,50489699312,1.03392E+11
20019,Z302591C,4.00079E+12,0,0,0,0,0,0,36293,29869,28,24276255897,1.78349E+11
18460,Z304K4G7,4.00079E+12,1,0,0,0,0,0,28038,7429,21,50478674304,1.03336E+11
20412,Z305D6NY,4.00079E+12,0,0,0,0,0,0,25516,3711,19,44510773160,1.17629E+11
20497,Z3051WQZ,4.00079E+12,0,0,0,0,0,0,19448,1137,23,24758763392,99109642302
5252,S301NGFG,4.00079E+12,0,0,0,0,0,0,27488,15104,24,45865545344,1.04849E+11
7683,Z304L8EV,4.00079E+12,0,0,0,0,0,0,27149,10534,19,46530382016,1.08308E+11
818,Z305DGGP,4.00079E+12,1,8,62,0,232,232,25427,4310,22,44148008952,1.26044E+11
3391,Z30252BN,4.00079E+12,1,3496,7,0,488,488,36769,59066,24,24342434258,2.1331E+11
16589,Z3025RY0,4.00079E+12,1,0,0,0,472,472,35399,138702,26,23592750758,2.21507E+11
818,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25403,4308,23,44127769728,1.25884E+11
5853,Z305D5RL,4.00079E+12,0,0,0,0,0,0,25430,4831,22,45812443904,1.14282E+11
3391,Z30252BN,4.00079E+12,1,2760,7,0,400,400,36745,59066,25,24341070871,2.1327E+11
16700,S300ZQCV,4.00079E+12,0,0,0,0,0,0,30512,41555,22,54101517272,1.15078E+11
16590,Z3025RY0,4.00079E+12,1,0,0,0,296,296,35375,138702,26,23591106425,2.21477E+11
10625,Z305GY1T,4.00079E+12,0,0,0,0,0,0,24990,3765,23,43613997760,1.25594E+11
818,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25379,4308,23,44108293736,1.25693E+11
3993,Z30250GA,4.00079E+12,0,0,0,0,0,0,36194,28450,24,24216921323,1.85981E+11
3391,Z30252BN,4.00079E+12,1,2520,7,0,264,264,36721,59066,25,24339799047,2.13233E+11
18258,Z3029AWY,4.00079E+12,0,0,0,0,0,0,34567,54152,27,25405632611,2.18102E+11
16590,Z3025RY0,4.00079E+12,1,0,0,0,256,256,35351,138702,26,23589783560,2.21446E+11
17373,Z302T6LM,4.00079E+12,0,0,0,0,0,0,28832,11035,34,52557434112,1.15586E+11
818,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25356,4308,22,44094271376,1.2555E+11
7298,Z305EWK1,4.00079E+12,0,0,0,0,0,0,24990,4105,24,42071604984,1.31467E+11
3391,Z30252BN,4.00079E+12,1,2088,7,0,176,176,36697,59066,25,24338509113,2.13194E+11
8668,Z304KDA1,4.00079E+12,0,0,0,0,0,0,28159,7258,21,48328992744,1.17325E+11
16593,Z3025RY0,4.00079E+12,1,0,0,0,176,176,35327,138702,26,23588390500,2.2141E+11
20285,S300Z70N,4.00079E+12,0,0,3,0,8,8,31160,158779,18,47681833168,1.11583E+11
820,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25332,4308,22,44078674760,1.25424E+11
1579,S300YGZT,4.00079E+12,0,0,0,0,0,0,31156,166676,19,48598956072,1.11222E+11
3393,Z30252BN,4.00079E+12,1,1992,7,0,160,160,36673,59066,26,24337146686,2.13157E+11
22050,S3003TK3,4.00079E+12,0,0,0,0,0,0,29840,49342,27,50731082312,1.35625E+11
16586,Z3025RY0,4.00079E+12,1,0,0,0,136,136,35303,138702,26,23587075047,2.21381E+11
7063,S300YS42,4.00079E+12,0,0,0,0,0,0,30102,51661,22,49580150296,1.15721E+11
820,Z305DGGP,4.00079E+12,1,0,9,0,128,128,25308,4308,22,44061014240,1.25279E+11
9137,Z303Z0CA,4.00079E+12,0,0,0,0,0,0,13188,152598,17,8785365358,27633171660
3393,Z30252BN,4.00079E+12,1,1936,7,0,152,152,36649,59066,25,24335856547,2.13118E+11
